Metabolite,F3.049,F3.097,F3.002,F3.050,F3.098,F3.013,F3.061,F3.109,F3.062,F3.110,F3.025,F3.073,F3.121,F3.026,F3.074,F3.122,F3.085,F3.133,F3.038,F3.086,F3.134,F4.001,F4.009,F4.065,F4.005,F4.069,F4.037,F4.017,F4.045,F4.021,F4.049,F4.081,F4.025,F4.053,F4.085,F4.029,F4.057,F4.089,F4.033,F4.061,F4.093
Unkm5.10,6.066243677,6.084838981,6.004264664,5.87538538,5.986175076,6.066942788,5.656144155,5.794921948,5.887585149,5.393022275,5.494262699,5.644461236,5.206153478,5.305577237,5.252928815,5.335341104,5.361970962,5.410218737,4.829330655,5.560643274,4.724189286,5.700049382,6.2250784,5.816354235,5.36702332,5.90904156,5.771753434,5.682752001,6.176451703,5.356780252,5.519206818,5.581644441,5.853228837,5.877415418,5.620755354,5.493077573,5.222554834,5.292069139,5.290150923,4.884751337,5.641466154
mannose,4.710838385,4.751075933,4.65337592,4.930631214,4.197630297,4.827518903,5.276411829,5.198382784,5.371621798,4.725109961,4.917142809,4.945687676,4.819033257,4.166384138,4.722973625,4.808121173,4.997175301,5.056911461,4.577212047,5.255501207,4.589627972,4.266465626,4.882002047,4.177936978,4.293507454,3.843745942,4.559115343,5.028235373,5.256125643,4.972636303,4.783543701,4.850999671,5.000514355,5.129929459,4.915394495,5.323066908,4.565881508,5.066655809,5.168696176,4.718631403,5.174678327
glucose_C1_alpha,11.068586,10.90269534,10.87391421,10.61780834,9.926795058,11.50264173,11.6348261,11.43524221,11.78968755,11.17196031,11.33527231,11.3939815,11.18752873,11.5242383,11.09202077,11.21564894,11.04895178,11.08833942,10.58658623,10.95383847,10.46312784,9.913643128,10.81054704,10.29581111,9.881438591,10.19764388,10.03549843,11.13256879,11.45883052,11.40741552,10.88010631,10.67727103,11.51384205,11.23828045,11.12735036,11.51718569,11.32654963,11.16382416,11.42930654,10.87441294,11.25451426
galactose,2.076834679,3.114685836,1.534432457,2.936663467,1.82162961,2.016989921,1.755341293,1.696228474,2.326862813,1.400181578,2.517401831,1.839760374,0.871667978,1.864776902,0.536984334,1.792732563,3.371595876,2.964611075,2.727836858,3.644680572,3.009891921,1.530049255,3.253761693,2.179339087,0.730290159,2.350606974,2.111710822,2.562925231,3.128217227,2.233045681,0.942393876,1.239982141,1.590317909,1.689425605,0.950165934,2.791987331,3.235758991,3.264630323,3.33090569,2.967753874,3.416031826
galacturonate,4.744454909,4.648467929,3.356994064,4.553366685,4.697978121,3.066733274,3.066923529,3.310047876,2.919298988,2.808270374,2.744000371,2.915289277,2.767449224,2.800929544,2.486222892,2.929765385,3.612851923,3.811314926,3.733277318,3.61332085,3.472023739,4.027108367,5.042024838,4.489024579,4.351977541,4.46628162,4.708230774,4.018916747,3.430344158,3.03877173,2.248137498,2.75421016,3.090201405,2.977948672,2.805111683,4.018449384,4.159067611,3.137661263,3.870661555,3.578038424,4.007289683
unkS5.39,5.718637205,5.577821471,5.943764557,6.853033094,6.816680971,6.135658142,6.986111037,6.305669501,6.992590057,5.612765883,6.82873758,6.986151076,6.924497161,6.736208452,6.95037591,6.917812608,6.737954552,6.185505123,6.109219909,6.991348385,6.201813279,6.46449703,6.879175484,6.510329902,6.47716709,6.572473719,6.328576083,5.990865435,5.189017708,6.255320203,5.996705698,6.335178745,6.508655641,6.665032361,6.271009799,6.057370288,5.918514321,6.495192628,6.842060624,6.298709477,6.047815562
saccharose,8.82883385,8.690700298,7.831016344,8.76085879,8.663767295,8.339746859,7.960097622,9.050178988,7.850099396,7.889922016,7.406787557,7.349802931,7.031465489,7.671994054,7.435736138,6.714035953,8.048049777,7.198076154,6.774239975,8.58514841,6.829650431,8.410158008,9.521617476,8.7672301,7.894007863,8.738059707,8.788512199,8.95180405,9.242283201,8.357827448,7.934963855,8.075513363,7.815620989,7.729408733,8.155581696,7.97413722,8.252435746,8.513325275,7.666771092,7.390367968,7.937963166
unkM5.83,2.696048125,2.10947507,2.562607054,2.031110127,1.563057215,3.575207484,3.559151333,3.487761014,3.745321272,2.816831105,3.843596712,3.187872508,3.419826363,3.263982865,3.292739828,3.003367738,3.073208856,3.056191515,2.649859644,3.56494062,2.596394264,2.066312184,2.207153403,1.80274005,1.636048188,2.094620025,2.470246173,2.650480764,2.780251774,3.630132359,2.910951647,3.330671888,3.791413488,3.610435028,3.235333879,3.400664085,2.831544134,3.089918674,3.256324276,2.853101322,3.302528976
adenosine_like,4.227637962,3.861543458,3.06456457,3.980908422,3.774522446,3.326241146,3.814956054,3.836275781,3.930016391,3.341577156,2.988824285,3.155366247,2.746926687,2.709262838,2.934888628,2.694488189,4.344476255,4.422710887,4.68399432,5.022629874,4.512682647,3.242547592,4.181747107,3.635057157,3.333656022,3.914112767,3.813986341,3.699872525,4.044276804,3.238596301,2.683707556,2.797763427,3.262276201,2.702906206,3.156413233,4.345494817,4.871363103,4.134001015,4.488837754,4.216346241,4.601353293
chlorogenate,6.892676714,6.79756919,5.076672835,6.819154925,6.64870514,4.816614741,4.60808883,5.120662789,4.716028268,4.742629595,3.839807428,3.642654367,3.157779035,2.623031256,3.14786291,3.298595385,3.93755324,2.941427047,2.218159418,4.533390081,2.042148659,6.231373021,7.411130335,6.957488648,6.547724822,6.633241088,6.975455544,6.075472819,5.377120868,3.24279737,3.004609848,4.196463682,3.013912083,3.298636669,3.88362698,3.366534732,2.937564766,4.05915711,2.960767772,2.410328711,3.385731265
fumarate,4.559774238,4.177987332,3.294452499,5.010283435,4.713733389,3.425824412,3.664894128,3.436867562,3.815871722,3.359197437,3.86683955,3.539044457,3.223476684,3.651090337,3.308450604,3.029626147,3.185133641,2.982321969,1.760433345,2.856178749,1.5707532,3.435800402,4.954111344,4.084542677,4.462046133,4.348169181,4.650413042,4.075004273,4.21935207,3.80053635,3.824354239,3.411325519,4.012997242,3.793476783,3.502804364,2.895609282,2.097528469,2.893876131,2.930430016,2.908243821,3.025491127
tyrosine,3.264355907,2.976973715,3.01798263,2.903804047,2.32838312,3.68979708,3.859076762,4.188820715,3.404597989,2.775043272,4.461304955,4.799273477,4.791835582,4.137667663,4.604675093,4.846633761,4.373653441,3.858680515,3.894503565,4.147224999,3.896593284,3.272953259,2.709391057,2.983750204,2.902899916,2.338468629,2.354449768,2.320842191,3.169911439,4.683624611,4.329182113,4.611575392,4.356423579,4.304181669,4.204270295,3.546088487,3.864987113,4.436128943,4.599684721,4.168234538,3.180193742
phenylalanine,3.681253183,3.983222412,3.831731867,4.08128352,3.798304928,4.611747072,5.378826822,5.378963159,5.272735183,4.349947618,4.867236604,5.207143664,5.408826448,4.374903932,5.286458744,5.259550643,5.082162735,5.253924288,4.932135012,5.042436782,5.112132878,3.778873261,3.39542058,3.892944852,3.290983579,3.516427819,3.4672677,3.593471945,4.889290898,5.442425942,5.429840358,5.563415113,4.906286417,5.086772149,5.170039834,4.786358676,5.312485075,5.316022215,5.146602612,4.93789099,4.564751399
tryptophane,4.373110859,4.012421125,2.290928079,4.78935843,5.018011489,1.605427463,2.533671316,1.722605308,2.087431707,2.447249392,1.505268689,1.9210801,1.588743151,0.910242836,1.620586543,1.463556488,1.726529492,2.050704838,1.838818147,1.895311001,1.959877525,3.310399142,5.056291195,4.332479218,4.513543611,4.340854524,4.77633447,3.415800081,2.681419011,1.054980015,1.038984177,1.977577078,1.452256747,0.989291336,2.136238397,2.006258166,1.565202624,1.598712033,2.165662082,1.540911942,2.287796432
unkM7.62,1.819535972,2.307218614,0.978727152,2.188607659,2.12479007,1.709287232,2.233981039,1.92731433,2.493863632,1.912662665,2.720506626,2.377868913,1.668516926,1.621596298,1.334114645,1.168685221,4.075029547,2.788323065,2.210755622,4.657382394,2.336418931,1.888320119,2.286324561,1.882823826,1.659346811,1.991896499,1.762246662,2.112154089,1.844261237,1.744119729,2.067433452,0.676546136,1.180116646,2.400701591,1.025350129,3.473504373,2.786960699,3.791890573,3.031775122,2.368213888,3.336287072
uridine_like,2.245328199,2.149044494,1.262724632,2.288693672,1.973076236,1.634988771,2.590622088,1.883832346,2.086509449,1.763467902,2.05701253,1.594382425,1.16558958,1.0908639,1.464788963,1.425305957,3.74049214,3.762405942,3.441074733,3.604759095,3.74257052,1.422788569,2.789566703,2.056527679,1.427578441,1.722221893,2.561005234,2.440817749,1.89807605,1.62402375,1.101750142,1.840805628,1.358199242,1.345984928,1.654526595,3.654803298,3.291322421,3.357385651,4.038840888,3.492311084,3.527596406
UDP_like,4.538107008,4.138853176,3.197901148,4.372652062,3.936210672,4.062007389,3.692218507,3.982980932,3.617993477,3.5190395,3.143661152,3.174577474,2.8762882,3.332242674,3.046317367,2.93126697,2.712594796,2.581009837,2.840253667,2.620152237,2.407310127,3.391163859,4.337197288,3.93358338,3.523797127,4.327995195,4.142057664,4.048983521,4.103791108,3.042916056,2.510739325,2.871766802,3.109420563,3.145017646,3.001936576,2.678031771,2.582909527,2.409084689,2.991521637,2.478921894,2.900281174
trigonelline,5.290408887,4.92796188,4.542142813,5.429428045,5.336711867,3.93644274,4.667730052,4.60778906,4.353997851,4.428947198,3.912312304,3.828972611,3.628134134,3.220515338,3.668617767,3.913303142,3.904162703,3.504063989,3.454132167,4.074260537,3.083513063,4.654654329,5.550128917,4.95781763,5.134771827,5.045138839,5.238587615,4.856761349,3.707120299,3.314080532,3.008919641,3.199113199,3.576768645,3.391450967,3.612599541,3.305815292,2.833381303,3.315512505,3.82992372,3.238161186,3.433050986
