Metabolite,Count_Day08,Count_Day15,Count_Day28,Count_Day55,Mean_Day08,Mean_Day15,Mean_Day28,Mean_Day55,Fold_change_Day08_vs_Day15,Fold_change_Day08_vs_Day28,Fold_change_Day08_vs_Day55,P_value_A_Day08_vs_Day15,P_value_A_Day08_vs_Day28,P_value_A_Day08_vs_Day55,Flag_A_Day08_vs_Day15,Flag_A_Day08_vs_Day28,Flag_A_Day08_vs_Day55
saccharose,11,7,12,11,3.07579697503366,3.047842593703794,2.899735238044278,2.917816404838551,0.027954381329866163,0.1760617369893822,0.15798057019510914,0.6434608948728476,6.409951013579496e-4,0.0015012202494483209,0,1,1
unkM5.83,11,7,12,11,1.0282392035447805,1.6476437114457252,1.7194500840406695,1.5768377996108311,-0.6194045079009447,-0.691210880495889,-0.5485985960660507,9.093396706100497e-7,1.1649505740643251e-9,1.7874712143429877e-7,-1,-1,-1
adenosine_like,11,7,12,11,1.8610963366630509,1.857814265878395,1.5120618705262616,2.1411972427124866,0.0032820707846559216,0.34903446613678923,-0.2801009060494357,0.954218945305763,1.4930146666486275e-7,8.483608879001573e-6,0,1,-1
chlorogenate,11,7,12,11,2.69319025774091,2.3032315956101335,1.7068892381962673,1.5889728577278377,0.38995866213077646,0.9863010195446427,1.1042174000130722,0.003619872396794119,6.292118673312679e-11,6.2093761759812694e-12,1,1,1
fumarate,11,7,12,11,2.073285958912072,1.8566116713578853,1.804249388850497,1.3378513077736316,0.2166742875541865,0.2690365700615749,0.7354346511384402,0.08637443173240612,0.019725965538489088,3.0679032735968574e-8,0,1,1
tyrosine,11,7,12,11,1.4557539677201488,1.6854913486806653,2.1402710997468795,1.9610850682523606,-0.22973738096051655,-0.6845171320267307,-0.5053311005322119,0.02391779363664913,4.302068142386465e-10,3.141623123736666e-7,-1,-1,-1
phenylalanine,11,7,12,11,1.8539090692593978,2.2136426675607614,2.335322125556324,2.3026292270881594,-0.35973359830136364,-0.4814130562969263,-0.4487201578287616,1.714874023267021e-6,1.1003393798030916e-10,6.530706480895425e-10,-1,-1,-1
tryptophane,11,7,12,11,2.0274626213624485,1.1625573985894182,0.47248973698809255,0.8654000356555825,0.8649052227730303,1.554972884374356,1.1620625857068658,2.870877110249908e-5,1.2785655180913891e-11,7.288831949126674e-9,1,1,1
unkM7.62,11,7,12,11,0.8617179689036315,0.9823341734720163,0.6017642933143036,1.594353107812868,-0.12061620456838484,0.2599536755893279,-0.7326351389092366,0.6434608948728476,0.3200904894021919,8.78757264108652e-4,0,0,-1
uridine_like,11,7,12,11,0.9203010359771138,0.9812387743785671,0.5053584404334188,1.817035824433839,-0.060937738401453334,0.41494259554369495,-0.8967347884567252,0.6989847725887333,0.00246201429506371,2.1713353946367096e-8,0,1,-1
UDP_like,11,7,12,11,1.9551802412849852,1.9152043360109414,1.5579324942973756,1.374477509913411,0.03997590527404382,0.3972477469876097,0.5807027313715742,0.6434608948728476,1.508374514754247e-8,4.988031510514653e-12,0,1,1
trigonelline,11,7,12,11,2.3170383439892834,2.0891855306363065,1.7808349419945966,1.7495758091362665,0.2278528133529769,0.5362034019946869,0.5674625348530169,0.0017389486802467467,6.292118673312679e-11,2.136994784171624e-11,1,1,1
